x,y,velocity,heading,curvature
82.72490364871018,32.12896953996433,14.485025012678431,1.8691246853641605,0.02416736565214308
82.56709644630352,32.64215435575696,14.185399087065555,1.8738988735695912,0.004828964279011505
82.40502149637456,33.160397921931164,13.87579226054156,1.8621409840634262,0.018915709365468644
82.25328562293022,33.66639031723441,13.567813015541146,1.8385412900496534,0.0412121820797979
82.12027823291876,34.151231480442874,13.268062431902678,1.811398410277475,0.05527157893825365
82.0047912808585,34.62192489116694,12.972548566592682,1.7808018047679195,0.06406262986209779
81.90628254611919,35.08408571653621,12.67778897049007,1.747289491733547,0.07151216632073995
81.82453497439629,35.54244338705293,12.380504303012591,1.7116351393457512,0.07680218620043806
81.75952174067083,36.0010016838779,12.170440837484271,1.6747639944204435,0.07947629889297725
81.7112699106558,36.46343245604945,12.177012994964567,1.6376435860352756,0.07939053240874284
