x,y
-119.24123553446654,-12.220129123601067
-118.92979655517817,-12.57396135328075
-118.61830472673101,-12.92912903148542
-118.30652143838029,-13.285629682735795
-117.99414550707614,-13.64354669451867
-117.68086877795253,-14.00297334564654
-117.36643251911929,-14.363930390539268
-117.05048256810751,-14.726583478942587
-116.7327554389294,-15.090955732898333
-116.41287881581201,-15.457247443989505
-116.09052856708146,-15.825577608473132
-115.76537547287371,-16.196074124781827
-115.43706060536859,-16.568918825433272
-115.10521939064598,-16.94430418760413
-114.76950590263894,-17.32238614948816
-114.42951328096824,-17.703444844256396
-114.08490385503966,-18.08761355898428
-113.73517263991995,-18.475395699326043
-113.38016236561087,-18.86649173104241
-113.01937399405666,-19.261425872358494
-112.65978423530217,-19.641787245715335
-112.30530096132348,-19.996836490460147
-111.95286413050364,-20.330647859766668
-111.60130010215211,-20.643921619660777
-111.24877856052825,-20.938365844078376
-110.8941114003275,-21.21483651022254
-110.53618484203963,-21.47410382398585
-110.17407959921746,-21.71674227136439
-109.80705445884033,-21.943170058434625
-109.43446914882237,-22.153728321635555
-109.05577736501729,-22.34869611098502
-108.67048243298014,-22.528324345868445
-108.27806854795517,-22.692873126316744
-107.87806552252673,-22.842584373828725
-107.46986986302011,-22.97774285966137
-107.05278213495886,-23.098657116281753
-106.62596636451703,-23.20565975476678
-106.1883594444919,-23.299107630901165
-105.73864845861118,-23.379367128466686
-105.27501102411274,-23.446789293464256
-104.79582039672334,-23.501744475288945
-104.29582475564308,-23.543994039630544
-103.76799642980139,-23.572873938410485
-103.23377104134183,-23.596463700870373
-102.70051962881587,-23.61820989236658
-102.16781210103424,-23.63901117373573
-101.63482889597435,-23.65963864047577
-101.12250928513328,-23.687974930716337
-100.6383603631069,-23.727506953961438
-100.16832195589679,-23.775364442967053
-99.71170787809534,-23.831887514754627
-99.26682141397653,-23.897227017979997
-98.83267478985327,-23.971629684142805
-98.40830017980565,-24.0553439199876
-97.99297422309422,-24.14862623150763
-97.58608222020251,-24.251731219221856
-97.18711208622176,-24.364906475092244
-96.7957116137388,-24.48838049821109
-96.41155799940908,-24.622376754917557
-96.03445514920908,-24.767090352792163
-95.66430395053672,-24.92268947173867
-95.30093536434968,-25.08936558005686
-94.94441771149131,-25.26721749267978
-94.59463627145058,-25.45642638267255
-94.25167720572749,-25.657070499332136
-93.91561251832981,-25.86923627593521
-93.58647265097147,-26.093037067595237
-93.26432424064481,-26.32856008988788
-92.94930999431311,-26.5758315302598
-92.64141725863183,-26.835015709179206
-92.34079902567916,-27.10611391597524
-92.04748236247191,-27.38926460227235
-91.76152963554509,-27.68456362774202
-91.48295804140623,-27.992167344652948
-91.21174984482658,-28.31228419561344
-90.94793799497148,-28.645038079226545
-90.69142496408996,-28.990797858679265
-90.44216878234732,-29.349813997183798
-90.20001397236513,-29.72261460215873
-89.9648611880358,-30.109567783418363
-89.73648963734628,-30.511453456656973
-89.51474970138197,-30.928755695422915
-89.29924008241477,-31.363299958758013
-89.09004394637036,-31.81333539375712
-88.88599701137422,-32.291809054007445
-88.68658026013948,-32.79129950102295
-88.4912495207261,-33.2924853303257
-88.29956513311555,-33.79357962303689
-88.1110972318897,-34.29456666908749
-87.92541918881957,-34.795998728573245
-87.74206120316853,-35.290454846287744
-87.56054062187569,-35.76844806133435
-87.38031976857373,-36.23745307566871
-87.20103468663005,-36.698597559749295
-87.02234900943483,-37.15248139943212
-86.84392848351459,-37.59967712996274
-86.66545259774178,-38.040623013079056
-86.48659477532674,-38.47580487072806
-86.30704135598819,-38.90562405111999
-86.12647922313481,-39.33047885595238
-85.94461312947062,-39.75068010014267
-85.76115326733982,-40.166514978226914
-85.5757701620029,-40.57842524299938
-85.38824582503254,-40.98645920849159
-85.19827168179123,-41.390957028243555
-85.00556258566607,-41.79218952228698
-84.80992644015494,-42.19017318331338
-84.61107931561253,-42.58515740323333
-84.40874006981872,-42.977384989827925
-84.20274748961626,-43.36683402377291
-83.99282147788705,-43.75372855396965
-83.77878959383999,-44.138083347384764
-83.56041399163807,-44.52003290224452
-83.33748690311518,-44.89965977155391
-83.10982617797114,-45.27700469977776
-82.8772105627729,-45.65216882290089
-82.63950013982674,-46.02513425914767
-82.39647122713335,-46.39599938442914
-82.1479983122819,-46.76473323373588
-81.89385442138337,-47.131431835777846
-81.63394413655001,-47.49603470768492
-81.36802471697163,-47.85864804101063
-81.09599352020024,-48.21922726119736
-80.8176418902094,-48.57783633753389
-80.532917235531,-48.93438720713676
-80.2415444247503,-49.288998068438495
-79.94336228025402,-49.64168665992076
-79.6383933185823,-49.99231672574943
-79.32627984963553,-50.34105499283017
-79.00698364072281,-50.68782637954995
-78.68027589712406,-51.03269273217157
-78.3460447322359,-51.375636227944405
-78.00409235906322,-51.71669450639644
-77.65425708411023,-52.05588315543579
-77.29636763650905,-52.39322329205615
-76.93016008906845,-52.72878649424994
-76.55401115661178,-53.0633413552026
-76.1605422767958,-53.40042935460627
-75.76242085397394,-53.73448239103312
-75.36254030025111,-54.06432565618959
-74.96080940423865,-54.390126552015104
-74.55730989641508,-54.711974719461054
-74.15208052869276,-55.02997912559742
-73.74516959925032,-55.344244444939726
-73.33662681099888,-55.65487472035315
-72.92649371577704,-55.96197765989284
-72.5148185196255,-56.26565797944709
-72.10166219183486,-56.56601465578716
-71.6870507003058,-56.86316240404748
-71.27104428787173,-57.15720052711662
-70.85368754402928,-57.448235366545795
-70.43502754941817,-57.73637214372286
-70.01511297276375,-58.02171536594016
-69.59398724905674,-58.3043718938791
-69.17171083337371,-58.58444093498802
-68.74829626841769,-58.862043240857865
-68.32383447200408,-59.13726432041774
-67.89836027484687,-59.41021490225468
-67.47189324634311,-59.68101257730052
-67.04451028988208,-59.9497491553224
-66.61624768190866,-60.21653471434204
-66.1871690980996,-60.481467012079186
-65.75727418873917,-60.74467259573485
-65.32667031938894,-61.00622957656071
-64.89538655530525,-61.26625127366982
-64.46343577950083,-61.52485828262094
-64.03089813590682,-61.78214095401251
-63.59782883148015,-62.03820085157975
-63.16420091488262,-62.293176482098694
-62.73035413292337,-62.54704146139842
-62.295481042115554,-62.8002852228719
-61.87444265916695,-63.04635040262374
-61.46319604136514,-63.287176869804064
-61.05298981671245,-63.52685699865396
-60.643227611621356,-63.76564923952974
-60.23376752189855,-64.00359231617038
-59.824541691938876,-64.24068815422807
-59.415448622111995,-64.47695585557224
-59.00626891560541,-64.71247633189338
-58.5969385512695,-64.94724687320826
-58.1872742442939,-65.1813306328015
